01a,7.854
01c,6.051
01d,6.921
01e,6.523
01f,6.721
01g,8.523
01h,7.125
01j,7.046
02a,7.886
02b,8.222
02c,8.155
02d,7.222
02e,7.921
02f,8.699
02g,8.222
02h,8.699
02i,8.523
02j,7.721
09a,7.638
09c,7.62
09d,7.252
09e,7.187
09f,7.377
09g,6.523
09h,7.602
09i,7.244
09j,7.678
09k,7.046
09l,6.046
10a,7.131
10b,7.658
10c,8.398
10d,7.174
10e,7.678
10f,7.699
10g,8.398
11a,6.917
11b,7.699
11c,6.569
11d,8.699
11e,8.398
11f,8.301
11g,7.921
11h,8.301
11i,9
13a,7.046
13b,7.377
14a,7.046
15,7.046
