name ,assay1      ,assay2
10a  ,>200        ,>200
10b  ,>200        ,180 ± 3
10c  ,>200        ,>200
08a  ,>200        ,>200
08b  ,>200        ,>200
08c  ,>200        ,>200
08d  ,<50         ,<50
08e  ,>200        ,>200
08f  ,>200        ,>200
08g  ,>200        ,>200
08h  ,<50         ,<50
08i  ,>200        ,>200
09a  ,72.8 ± 11.0 ,198 ± 79
09aa ,165 ± 29    ,86.7 ± 26.3
09ab ,152 ± 40    ,89.6 ± 10.8
09b  ,>200        ,>200
09e  ,28.8 ± 5.7  ,50.7 ± 5.2
09f  ,23.8 ± 7.4  ,16.1 ± 1.8
09g  ,106 ± 78    ,>200
09h  ,104 ± 50    ,>200
09k  ,172 ± 36    ,>200
09l  ,>200        ,4.4 ± 0.1
09m  ,186 ± 308   ,1.3 ± 0.1
09n  ,>200        ,>200
09o  ,>200        ,>200
09p  ,>200        ,>200
09q  ,58.4 ± 53.7 ,2.8 ± 0.3
09r  ,77.0 ± 15.0 ,5.0 ± 0.6
09s  ,>200        ,20.0 ± 3.0
09t  ,>200        ,5.1 ± 0.5
09u  ,>200        ,116 ± 16
09w  ,>200        ,>200
90x  ,>200        ,>200
09y  ,>200        ,>200
09z  ,>200        ,>200
